# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsUncompressedSize,1735140522530000000,1735140582819000000,0
VFS.contentStorage.recordsDeduplicated,1735140522530000000,1735140582819000000,0
VFS.fileChildByName,1735140522530000000,1735140582819000000,65654
VFS.invertedFileNameIndex.requests,1735140522530000000,1735140582819000000,0
IndexesFlusher.totalContentionQuotaSpent,1735140522530000000,1735140582819000000,0
Indexes.allKeys.lookupDuration90PMs,1735140522530000000,1735140582819000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1735140522530000000,1735140582819000000,0.0
IndexesFlusher.totalFlushesRetried,1735140522530000000,1735140582819000000,0
Indexes.entries.lookupDurationAvgMs,1735140522530000000,1735140582819000000,0.0
Indexes.stubs.lookupDurationAvgMs,1735140522530000000,1735140582819000000,0.0
IndexesFlusher.totalFlushingTimeUs,1735140522530000000,1735140582819000000,204121
Indexes.entries.lookups,1735140522530000000,1735140582819000000,5
Indexes.allKeys.lookups,1735140522530000000,1735140582819000000,0
Indexes.allKeys.lookupDurationMaxMs,1735140522530000000,1735140582819000000,0.0
Indexes.stubs.lookupDuration90PMs,1735140522530000000,1735140582819000000,0.0
Indexes.stubs.lookupDurationMaxMs,1735140522530000000,1735140582819000000,0.0
Indexes.entries.lookupDuration90PMs,1735140522530000000,1735140582819000000,0.0
IndexesFlusher.totalFlushes,1735140522530000000,1735140582819000000,58
Indexes.stubs.lookups,1735140522530000000,1735140582819000000,0
Indexes.entries.lookupDurationMaxMs,1735140522530000000,1735140582819000000,0.0
FilePageCacheLockFree.totalBytesWritten,1735140582819000000,1735140642586000000,0
FilePageCache.disposedBuffers,1735140582819000000,1735140642586000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1735140582819000000,1735140642586000000,39535
FilePageCacheLockFree.totalHeapBytesReclaimed,1735140582819000000,1735140642586000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.totalPagesWritten,1735140582819000000,1735140642586000000,0
MappedFileStorage.totalPagesMapped,1735140582819000000,1735140642586000000,10
FilePageCacheLockFree.totalNativeBytesAllocated,1735140582819000000,1735140642586000000,0
FilePageCacheLockFree.totalBytesRead,1735140582819000000,1735140642586000000,0
FilePageCache.pageFastCacheHits,1735140582819000000,1735140642586000000,0
FilePageCache.capacityInBytes,1735140582819000000,1735140642586000000,503316478
StreamlinedBlobStorage.recordsDeleted,1735140582819000000,1735140642586000000,0
DirectByteBufferAllocator.disposed,1735140582819000000,1735140642586000000,0
